vendor_id,name,type,address,city,state,zip_code,phone,email,contact_person,tax_id,is_pap_vendor,pap_program,contract_start_date,contract_end_date,is_active,fraud_flag,created_at
VEN10000,Perez-Jacobs Medical,Medical Supply,536 Christopher Plaza Suite 842,New Scott,GA,98735,5279962007,contact@perez-jacobsmedical.com,Stephen Mccullough,71-1370770,True,Kaiser PAP,2024-10-03,2027-08-06,True,False,2024-09-21
VEN10001,Davis Ltd Pharmacy,Transportation,15095 Rebecca Hill,South Deborahland,GA,22661,+1-515-948-9272x3192,contact@davisltdpharmacy.com,Sandra West,75-1484961,False,,2024-11-13,2026-12-14,True,False,2024-10-04
VEN10002,Cannon-Bowman Supplies,Lab,1712 Dyer Estates Suite 938,Timborough,FL,26719,+1-374-550-9757x9253,contact@cannon-bowmansupplies.com,Zachary Romero,30-5175196,False,,2026-05-09,2028-04-02,True,False,2024-10-08
VEN10003,White Group Pharmacy,Pharmacy,41891 Mcpherson Trail,Fernandezbury,TX,28250,609-447-7712x7413,contact@whitegrouppharmacy.com,Pamela Shaffer,31-1298153,True,Kaiser PAP,2022-05-13,2027-06-19,True,False,2022-02-07
VEN10004,Wells Inc Healthcare,Transportation,458 Hill Lock,Michaelchester,PA,27214,001-202-894-1240x52677,contact@wellsinchealthcare.com,Jonathan Lester,72-1634100,True,Kaiser PAP,2022-02-27,2028-03-05,True,False,2023-07-05
VEN10005,Long-Meyers Pharmacy,Home Health,250 Harrington Knoll Suite 304,West Lisa,IL,80212,(886)364-3237x82628,contact@long-meyerspharmacy.com,Shelby Bowman,55-1062346,True,,2026-01-12,2027-06-12,True,False,2025-07-13
VEN10006,Cooper-Dean Medical,Medical Supply,565 Carter Stravenue,Lisachester,FL,12983,391.266.4715,contact@cooper-deanmedical.com,Daniel Clay,74-6450777,True,,2024-03-08,2027-07-24,True,False,2024-11-27
VEN10007,Powell-Walker Supplies,Transportation,20120 Miller Trace Apt. 635,East Angela,NY,70063,793.319.2607x93013,contact@powell-walkersupplies.com,Jim Werner,77-4997733,True,,2023-03-21,2028-02-28,True,False,2022-01-31
VEN10008,Ramirez Inc Medical,Pharmacy,97710 Smith Haven,South Nathaniel,OH,55431,2347286373,contact@ramirezincmedical.com,Isabella Davidson MD,56-1485193,False,,2025-09-05,2028-01-11,True,False,2024-04-05
VEN10009,Hughes-Ruiz Supplies,Pharmacy,1952 Gina Club Suite 069,New Markborough,MI,18512,363-535-5041,contact@hughes-ruizsupplies.com,Jennifer Ross,17-8435328,False,Kaiser PAP,2023-11-28,2026-12-07,True,False,2021-07-06
VEN10010,Martin Group Medical,Home Health,2673 Fisher Turnpike,Ewingfurt,TX,98913,(953)631-3241x53074,contact@martingroupmedical.com,Walter Soto,13-3880164,True,Kaiser PAP,2025-07-24,2027-04-27,True,False,2025-10-22
VEN10011,Gibson-Roach Healthcare,Pharmacy,21358 Christian Islands,Lake Jennifer,CA,79881,(370)429-8720x275,contact@gibson-roachhealthcare.com,Robert Bennett,93-9244289,True,,2025-08-13,2026-08-05,True,False,2023-12-29
